text,volume,competition_level,competition_index,low_bid,high_bid,trend
dbms is a type of software,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms is application software,0,UNSPECIFIED,0,0.0,0.0,0.0
dbms is collection of,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms is software,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms is type of,0,UNSPECIFIED,0,0.0,0.0,-0.0
dbms is used for,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms is used to,10,LOW,0,0.0,0.0,9.09
dbms is which type of software,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms key,1300,LOW,1,0.0,0.0,49.7
dbms key concepts,10,LOW,0,0.0,0.0,4.55
dbms korth ppt,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms language,20,LOW,3,0.0,0.0,14.39
dbms language types,10,LOW,0,0.0,0.0,0.0
dbms languages with example,10,LOW,0,0.0,0.0,9.09
dbms life cycle,10,LOW,0,0.0,0.0,0.0
dbms list,90,LOW,4,2.886252,14.5,-1.27
dbms mariadb,10,LOW,0,0.0,0.0,0.0
dbms mean,1300,LOW,1,2.1,8.37,1.09
dbms micro project,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms model,40,LOW,2,0.0,0.0,2.25
dbms operating system,10,LOW,11,0.0,0.0,23.03
dbms operations,10,LOW,12,0.0,0.0,-4.55
dbms oracle sql,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms out,10,LOW,0,0.0,0.0,0.0
dbms package,10,LOW,4,0.0,0.0,4.55
dbms packages examples,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms packages list,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms pl sql,10,LOW,10,0.0,0.0,4.55
dbms platform,10,LOW,17,8.08,26.0,4.55
dbms ppt,10,LOW,4,0.0,0.0,0.0
dbms primary key,1000,LOW,0,0.0,0.0,-2.81
dbms program examples,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms programming language,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms programs in sql,10,LOW,0,0.0,0.0,0.0
dbms project file,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms project using sql,20,LOW,26,0.0,0.0,2.73
dbms project with source code,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms python,10,LOW,0,0.0,0.0,4.55
dbms queries examples,140,LOW,9,2.82,6.66,-1.35
dbms queries in sql,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms queries with answers,0,UNSPECIFIED,0,0.0,0.0,0.0
dbms rdbms,50,LOW,4,1.74,7.17,3.9
dbms recovery,30,LOW,6,0.0,0.0,38.38
dbms relationship,70,LOW,3,0.0,0.0,-2.39
dbms relationship types,210,LOW,1,1.26,3.72,-2.88
dbms schema,5400,LOW,2,2.05,10.9,-2.28
dbms slides,10,LOW,24,0.0,0.0,0.0
dbms software types,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms sql programs,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms stand for,590,LOW,0,0.0,0.0,-1.5
dbms structure,40,LOW,8,0.0,0.0,11.78
dbms subject,10,LOW,0,0.0,0.0,0.0
dbms subject code,10,LOW,0,0.0,0.0,9.09
dbms super key,390,LOW,0,0.0,0.0,-0.76
dbms system architecture,10,LOW,0,0.0,0.0,0.0
dbms table,20,LOW,1,0.0,0.0,-3.03
dbms table example,10,LOW,0,0.0,0.0,0.0
dbms technology,10,LOW,7,0.0,0.0,0.0
dbms tools list,10,LOW,0,0.0,0.0,0.0
dbms types of languages,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms udemy,10,MEDIUM,43,0.0,0.0,0.0
dbms use,30,LOW,11,0.0,0.0,25.61
dbms used for,10,LOW,0,0.0,0.0,0.0
dbms utilities,10,LOW,4,0.0,0.0,0.0
dbms view,210,LOW,1,0.0,0.0,1.64
dbms w3,10,LOW,0,0.0,0.0,9.09
dbms website,10,LOW,29,3.52,7.495,13.64
dbms_jobs,40,LOW,0,0.0,0.0,10.45
dbms_metadata,50,LOW,3,10.9,32.490002,10.58
dbms_profiler,20,LOW,8,0.0,0.0,12.12
dbmsin,8100,LOW,5,3.34,14.11,0.2
dbmsoutput,170,LOW,0,0.0,0.0,1.63
dbtg in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
deductive database in dbms,10,LOW,0,0.0,0.0,9.09
deductive database system in dbms,10,LOW,0,0.0,0.0,0.0
define about dbms working,10,UNSPECIFIED,0,0.0,0.0,0.0
define data database and dbms,10,LOW,0,0.0,0.0,0.0
define data model in dbms,10,LOW,1,0.0,0.0,13.64
define data warehouse in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
define database and database management system,1300,LOW,1,2.1,8.37,1.09
define database and dbms,1300,LOW,1,2.1,8.37,1.09
define database in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
define database management system dbms,1300,LOW,1,2.1,8.37,1.09
define database schema in dbms,480,LOW,0,0.0,0.0,-1.87
define database software,210,LOW,1,0.0,0.0,9.54
define database system,1300,LOW,1,2.1,8.37,1.09
define database system in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
define dba in dbms,590,LOW,2,0.35,5.81,-1.88
define dbms and its advantages,0,UNSPECIFIED,0,0.0,0.0,0.0
define dbms and its applications,0,UNSPECIFIED,0,0.0,0.0,0.0
define dbms and rdbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
define dbms in computer,10,UNSPECIFIED,0,0.0,0.0,-9.09
define dbms with example,10,UNSPECIFIED,0,0.0,0.0,0.0
define distributed database management system,10,UNSPECIFIED,0,0.0,0.0,0.0
define er diagram in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
define normalization in dbms,50,LOW,2,0.0,0.0,-1.49
define pl sql in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
define primary key in dbms,50,LOW,0,0.0,0.0,-5.43
define rdbms with example,10,UNSPECIFIED,0,0.0,0.0,-9.09
define relationship in dbms,50,LOW,0,0.0,0.0,3.81
define schema in dbms,480,LOW,0,0.0,0.0,-1.87
define sql database,170,LOW,1,0.0,0.0,3.76
define sql in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
define the dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
define the term database management system,10,UNSPECIFIED,0,0.0,0.0,-9.09
define the term dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
degree of relationship in dbms,30,LOW,0,0.0,0.0,1.41
describe database management system,320,LOW,1,2.56,4.33,0.7
describe dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
describing and storing data in a dbms,10,LOW,0,0.0,0.0,9.09
design process in dbms,10,LOW,0,0.0,0.0,9.09
disaster recovery in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
disk storage in dbms,10,UNSPECIFIED,0,0.0,0.0,9.09
distributed architecture in dbms,90,LOW,18,3.42,5.7,11.7
distributed data storage in dbms,10,LOW,0,0.0,0.0,0.0
distributed database architecture in dbms,90,LOW,18,3.42,5.7,11.7
distributed database system in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
distributed processing in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
distributed system in dbms,70,LOW,4,2.88,12.56,4.29
dynamic sql in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
dynamic sql in dbms with example,10,LOW,0,0.0,0.0,0.0
e commerce dbms project,10,UNSPECIFIED,0,0.0,0.0,-9.09
embedded and dynamic sql in dbms,10,LOW,14,0.0,0.0,9.09
embedded dbms,480,LOW,6,4.17,17.85,1.17
embedded sql in dbms,10,LOW,0,0.0,0.0,0.0
emerging database technologies in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
employee table in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
enhanced er model in dbms,10,LOW,0,0.0,0.0,0.0
er data model in dbms,10,UNSPECIFIED,0,0.0,0.0,9.09
er dbms,10,LOW,7,0.0,0.0,0.0
er diagram examples with solutions in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
er diagram in dbms examples,20,LOW,0,0.0,0.0,2.27
er diagram in rdbms,260,LOW,10,1.188761,3.3,-5.5
er in dbms,480,LOW,6,1.87,7.97,-2.41
er model diagram in dbms,880,LOW,4,1.99,10.99,-1.44
er relationship model in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
etl in dbms,10,LOW,14,0.0,0.0,0.0
example of normalization in dbms,720,LOW,3,0.41,4.21,0.87
example of one to one relationship in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
example of rdbms software,10,LOW,0,0.0,0.0,0.0
examples of popular dbms are,10,UNSPECIFIED,0,0.0,0.0,-9.09
experdb,10,LOW,0,0.0,0.0,9.09
explain a few advantages of a dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
explain about dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
explain advantages of database management system,0,UNSPECIFIED,0,0.0,0.0,0.0
explain advantages of dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
explain any two advantages of dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
explain application of dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
explain architecture of dbms,10,LOW,11,0.0,0.0,0.0
explain data model in dbms,10,LOW,1,0.0,0.0,13.64
explain data types in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
explain database administrator,20,LOW,19,0.0,0.0,1.52
explain database architecture,10,LOW,6,0.0,0.0,0.0
explain database architecture in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
explain database management,10,LOW,8,0.0,0.0,0.0
explain database model,10,LOW,2,0.0,0.0,9.09
explain database software,10,UNSPECIFIED,0,0.0,0.0,0.0
explain database system,170,LOW,2,1.58,6.38,-1.19
explain database system architecture,10,MEDIUM,57,0.0,0.0,9.09
explain database with example,10,LOW,0,0.0,0.0,10.61
explain dba in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
explain dbms and rdbms,10,UNSPECIFIED,0,0.0,0.0,0.0
explain dbms in detail,10,LOW,0,0.0,0.0,9.09
explain dbms with example,10,UNSPECIFIED,0,0.0,0.0,-9.09
explain distributed database,20,LOW,3,0.0,0.0,3.03
explain distributed database system,10,UNSPECIFIED,0,0.0,0.0,-9.09
explain er model in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
explain functions of dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
explain key in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
explain normalization in dbms,50,LOW,2,0.0,0.0,-1.49
explain nosql database,40,LOW,6,0.22,22.64,6.21
explain rdbms,480,LOW,0,0.0,0.0,2.01
explain rdbms in detail,10,LOW,0,0.0,0.0,0.0
explain rdbms with example,10,UNSPECIFIED,0,0.0,0.0,0.0
explain relational data model in dbms,10,LOW,0,0.0,0.0,9.09
explain relational database,320,LOW,1,0.0,0.0,6.79
explain relational model in dbms,10,LOW,0,0.0,0.0,9.09
explain schema in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
explain sql in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
explain the advantages of database management system,0,UNSPECIFIED,0,0.0,0.0,0.0
explain the advantages of dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
explain the concept of database,10,UNSPECIFIED,0,0.0,0.0,0.0
explain the concept of database management system,0,UNSPECIFIED,0,0.0,0.0,0.0
explain the concept of dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
explain the functions of dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
explain the structure of distributed database,0,UNSPECIFIED,0,0.0,0.0,0.0
explain the term database,10,LOW,0,0.0,0.0,0.0
explain the term dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
explain the types of database,10,LOW,0,0.0,0.0,9.09
explain types of database,10,LOW,0,0.0,0.0,9.09
explain view of data in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
famous database software,70,LOW,8,2.55,6.86,-1.76
file based management system,10,MEDIUM,57,0.0,0.0,0.0
file based system in dbms,10,MEDIUM,57,0.0,0.0,0.0
file management system in dbms,20,UNSPECIFIED,0,0.0,0.0,44.37
file operations in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
file oriented system in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
file processing system in dbms,10,LOW,0,0.0,0.0,0.0
file structure in dbms,10,LOW,6,0.0,0.0,0.0
file system and dbms,10,LOW,14,0.0,0.0,-4.55
file system dbms,10,LOW,14,0.0,0.0,-4.55
firebird dbms,720,LOW,0,2.73,9.33,-2.56
first dbms,10,LOW,2,0.0,0.0,0.0
first normalization in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
flat file system in dbms,10,LOW,7,0.0,0.0,9.09
foxpro dbms,390,LOW,14,3.2,14.7,1.96
front end tools in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
functions of database administrator in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
functions of dba in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
functions of dbms tutorialspoint,10,UNSPECIFIED,0,0.0,0.0,0.0
functions of rdbms,10,LOW,0,0.0,0.0,4.55
fundamentals of database systems by elmasri & navathe,10,HIGH,100,0.0,0.0,0.0
fundamentals of sql in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
genome data management in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
geographical database in dbms,10,LOW,0,0.0,0.0,9.09
give two examples of dbms software,0,UNSPECIFIED,0,0.0,0.0,0.0
guru99 dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
having in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
hierarchical and network data model,10,LOW,0,0.0,0.0,0.0
hierarchical data model in dbms,10,LOW,0,0.0,0.0,0.0
hierarchical database systems,10,LOW,0,0.0,0.0,4.55
hierarchical dbms,720,LOW,2,1.51,8.02,-1.36
hierarchical dbms example,10,LOW,0,0.0,0.0,0.0
hostel management system dbms project,10,UNSPECIFIED,0,0.0,0.0,-9.09
ibm db2 is an example of dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
identifying relationship in dbms,20,LOW,2,0.0,0.0,14.39
important of dbms,10,LOW,8,0.0,0.0,4.55
ims data structure in dbms,10,LOW,0,0.0,0.0,9.09
in database management system,10,UNSPECIFIED,0,0.0,0.0,0.0
in dbms,10,LOW,0,0.0,0.0,0.0
in dbms the logical model is,0,UNSPECIFIED,0,0.0,0.0,0.0
infytq dbms answers,10,UNSPECIFIED,0,0.0,0.0,0.0
integration in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
internal schema in dbms,10,LOW,0,0.0,0.0,0.0
internet database in dbms,10,LOW,29,0.0,0.0,9.09
isa relationship in dbms,10,LOW,2,0.0,0.0,-6.06
key in database management system,1300,LOW,1,0.0,0.0,49.7
key in dbms with example,10,LOW,0,0.0,0.0,0.0
key types in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
library management system dbms,90,LOW,30,2.62,8.149999,5.83
library management system dbms project,30,LOW,11,0.0,0.0,6.82
library management system project dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
like in dbms,30,LOW,4,0.0,0.0,24.24
liquibase dbms,10,LOW,6,0.0,0.0,4.55
list any eight applications of dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
list any four applications of dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
list any four dbms software,10,UNSPECIFIED,0,0.0,0.0,-9.09
list any two advantages of dbms,0,UNSPECIFIED,0,0.0,0.0,-0.0
list application of dbms,10,LOW,0,0.0,0.0,9.09
list some database applications,10,LOW,14,0.0,0.0,9.09
list the advantages of dbms,10,LOW,0,0.0,0.0,9.09
list the application of dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
logical data model in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
logical database design in dbms,210,LOW,2,0.0,0.0,0.8
logical dbms architecture,10,UNSPECIFIED,0,0.0,0.0,-9.09
logical design in dbms,10,LOW,0,0.0,0.0,0.0
logical model in dbms,40,LOW,5,0.0,0.0,12.73
logical schema in dbms,10,LOW,0,0.0,0.0,0.0
managing data in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
materialized view in dbms,50,LOW,1,0.0,0.0,9.83
meta data in dbms,170,LOW,6,1.45,4.0,0.61
minimal key in dbms,10,LOW,0,0.0,0.0,0.0
mobile database in dbms,10,LOW,0,0.0,0.0,0.0
modern database system,50,LOW,7,2.06,9.29,6.29
most common database software,20,LOW,14,2.19,9.29,15.15
most used dbms,110,LOW,3,1.67,7.24,0.75
most used sql database,30,LOW,1,0.0,0.0,7.27
mssql dbms,40,LOW,17,4.33,27.44,-0.2
multi dbms architecture,10,UNSPECIFIED,0,0.0,0.0,0.0
mysql database information,10,LOW,0,0.0,0.0,0.0
mysql in dbms,10,MEDIUM,57,0.0,0.0,9.09
mysql is a database management system,10,LOW,0,0.0,0.0,0.0
mysql system databases,20,LOW,29,3.31,8.68,27.27
navigational dbms,170,LOW,1,0.0,0.0,4.23
need for database management system,10,MEDIUM,43,0.0,0.0,33.64
need for dbms,10,MEDIUM,43,0.0,0.0,33.64
need for normalization in dbms,10,LOW,0,0.0,0.0,0.0
need of database system,10,MEDIUM,43,0.0,0.0,33.64
neo4j dbms,10,LOW,13,0.0,0.0,0.0
nested queries in dbms,10,UNSPECIFIED,0,0.0,0.0,-4.55
nested queries in dbms with example,10,UNSPECIFIED,0,0.0,0.0,0.0
network data model in dbms,50,LOW,1,0.0,0.0,18.78
network data model in dbms with example,0,UNSPECIFIED,0,0.0,0.0,0.0
network database model in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
network database systems,480,LOW,2,2.59,6.89,5.34
network dbms,480,LOW,2,2.59,6.89,5.34
network dbms example,10,LOW,0,0.0,0.0,0.0
network dbms follows,0,UNSPECIFIED,0,0.0,0.0,0.0
network model dbms,50,LOW,1,0.0,0.0,18.78
network model in dbms example,10,LOW,0,0.0,0.0,0.0
no sql database types,30,LOW,6,0.0,0.0,-4.09
no sql dbms,10,LOW,0,0.0,0.0,0.0
no sql in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
non relational dbms,2400,LOW,5,1.83,12.82,0.08
normalization and its types in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
normalization in dbms ppt,10,LOW,0,0.0,0.0,0.0
normalization process in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
normalization types in dbms,110,LOW,1,0.0,0.0,-1.07
nosql database systems,30,LOW,9,6.19,19.35,12.88
nosql in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
object based data model in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
object based database in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
object based relational dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
object data model in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
object dbms,50,LOW,1,0.0,0.0,-3.18
object oriented data model in dbms,10,LOW,14,0.0,0.0,4.55
object oriented database in dbms,880,LOW,2,1.74,9.65,2.28
object oriented dbms,880,LOW,2,1.74,9.65,2.28
object oriented dbms example,10,LOW,0,0.0,0.0,9.09
object oriented model in dbms,70,LOW,0,0.0,0.0,8.06
object relational database in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
object relational dbms,320,LOW,1,1.56,4.02,-1.62
object relational model in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
odbc and jdbc in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
odbc in dbms,70,LOW,1,0.0,0.0,1.33
of dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
olap dbms,1300,LOW,3,2.97,8.222447,3.75
oltp in dbms,10,LOW,0,0.0,0.0,9.09
one to one relationship example in dbms,10,LOW,0,0.0,0.0,0.0
one to one relationship in dbms,110,LOW,3,0.0,0.0,-8.24
online shopping dbms project,10,UNSPECIFIED,0,0.0,0.0,0.0
oops concepts in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
open source dbms examples,10,LOW,4,0.0,0.0,0.0
operational data in dbms,10,LOW,0,0.0,0.0,0.0
operations in dbms,10,LOW,12,0.0,0.0,-4.55
optimization in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
oracle architecture in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
oracle dbms software,110,LOW,9,4.2,17.19,3.06
ordbms,320,LOW,1,1.56,4.02,-1.62
overall architecture of dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
overall system architecture of dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
physical data model in dbms,10,LOW,0,0.0,0.0,0.0
physical database design in dbms,140,LOW,2,0.0,0.0,16.19
physical database in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
physical dbms architecture,10,UNSPECIFIED,0,0.0,0.0,0.0
physical design in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
physical schema in dbms,10,LOW,0,0.0,0.0,0.0
pl sql block structure in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
pl sql database,10,LOW,4,0.0,0.0,19.7
pl sql structure in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
popular dbms software,10,LOW,0,0.0,0.0,0.0
popular sql databases,50,LOW,1,0.0,0.0,3.57
ppt on database management system,10,LOW,4,0.0,0.0,0.0
primary key in dbms with example,70,LOW,0,0.0,0.0,-4.64
proc export dbms,10,LOW,0,0.0,0.0,0.0
proc import dbms,20,LOW,1,0.0,0.0,-4.55
process of normalization in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
program dbms,10,LOW,0,0.0,0.0,0.0
project on database management system,170,LOW,8,2.59,5.31,-0.04
python dbms,10,LOW,0,0.0,0.0,4.55
quaternary relationship in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
queries in sql in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
querying relational data in dbms,10,LOW,4,0.0,0.0,4.55
querying relational data in dbms tutorialspoint,0,UNSPECIFIED,0,0.0,0.0,0.0
r dbms,8100,LOW,4,2.97,15.0,-0.44
rdbms contains normalization,10,LOW,0,0.0,0.0,9.09
rdbms design,10,LOW,0,0.0,0.0,4.55
rdbms in big data,10,UNSPECIFIED,0,0.0,0.0,0.0
rdbms in computer,10,LOW,0,0.0,0.0,9.09
rdbms normalization,18100,LOW,0,0.53,6.04,-1.3
recovery concepts in dbms,10,LOW,0,0.0,0.0,9.09
recovery management in dbms,10,LOW,0,0.0,0.0,0.0
recovery manager in dbms,10,LOW,0,0.0,0.0,0.0
recovery system in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
recursive relationship er diagram,50,LOW,0,0.0,0.0,9.83
recursive relationship in dbms,40,LOW,0,0.0,0.0,7.32
recursive relationship in er diagram,40,LOW,6,0.0,0.0,-9.98
redis dbms,10,LOW,21,0.0,0.0,0.0
relational and object oriented data model in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
relational data base management system,8100,LOW,4,2.97,15.0,-0.44
relational data model concepts in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
relational data structure in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
relational database design in dbms,110,LOW,8,1.78,7.17,4.52
relational database model in dbms,390,LOW,1,1.543793,22.445,-0.58
relational database schema in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
relational dbms example,10,LOW,0,0.0,0.0,4.55
relational diagram in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
relational in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
relational languages in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
relational model concepts in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
relational model in dbms example,10,UNSPECIFIED,0,0.0,0.0,-9.09
relational model in dbms ppt,10,MEDIUM,33,0.0,0.0,0.0
relational operations in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
relational operations in dbms with examples,10,UNSPECIFIED,0,0.0,0.0,0.0
relational schema in dbms,30,LOW,2,0.0,0.0,-0.15
relational table in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
relationship diagram in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
relationship in dbms with example,10,UNSPECIFIED,0,0.0,0.0,-9.09
relationship model in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
repository in dbms,10,LOW,0,0.0,0.0,4.55
representational data model in dbms,10,LOW,0,0.0,0.0,0.0
schema architecture in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
schema design in dbms,10,UNSPECIFIED,0,0.0,0.0,9.09
schema diagram in dbms,480,LOW,14,2.8,10.17,-0.22
schema diagram in dbms example,10,UNSPECIFIED,0,0.0,0.0,-9.09
schema example in dbms,10,LOW,5,0.0,0.0,9.09
schema in dbms example,10,UNSPECIFIED,0,0.0,0.0,0.0
schema types in dbms,170,LOW,2,0.0,0.0,5.41
secondary key in dbms,70,LOW,0,0.0,0.0,-0.65
security management in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
select in dbms,10,LOW,0,0.0,0.0,0.0
semantic data model in dbms,10,LOW,0,0.0,0.0,0.0
semantic database in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
semantic model in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
semi structured data model in dbms,10,LOW,0,0.0,0.0,0.0
semi structured data model in dbms examples,10,UNSPECIFIED,0,0.0,0.0,0.0
semistructured data model in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
server system architecture in dbms,10,MEDIUM,43,0.0,0.0,9.09
set operations in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
set operations in dbms with example,10,UNSPECIFIED,0,0.0,0.0,-9.09
silberschatz dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
simple queries in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
software in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
spatial database in dbms,210,LOW,1,0.0,0.0,0.41
spatial dbms,210,LOW,1,0.0,0.0,0.41
sql architecture in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
sql based databases,50,LOW,9,7.833435,25.61,20.78
sql basic structure in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
sql concepts in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
sql data types in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
sql data types in dbms with examples,0,UNSPECIFIED,0,0.0,0.0,0.0
sql database concepts,10,LOW,1,0.0,0.0,18.18
sql database language,40,LOW,0,0.0,0.0,8.94
sql database normalization,2400,LOW,1,0.0,0.0,-1.88
sql dbms software,320,MEDIUM,50,7.17,23.42,8.29
sql functions in dbms,10,LOW,0,0.0,0.0,9.09
sql fundamentals in dbms,10,UNSPECIFIED,0,0.0,0.0,9.09
sql is what type of database management system,20,LOW,0,0.0,0.0,18.18
sql language in dbms,10,MEDIUM,43,0.0,0.0,0.0
sql operations in dbms,10,LOW,0,0.0,0.0,0.0
sql process in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
sql programs in dbms,10,MEDIUM,57,0.0,0.0,0.0
sql queries in dbms with examples,10,LOW,0,0.0,0.0,0.0
sql set operations in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
sql types in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
sql3 in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
srm elab dbms solutions,0,UNSPECIFIED,0,0.0,0.0,0.0
star schema in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
statistical data in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
storage and file structure in dbms,10,MEDIUM,43,0.0,0.0,0.0
storage in dbms,10,LOW,0,0.0,0.0,9.09
storage management in dbms,10,LOW,6,0.0,0.0,0.0
storage structure in dbms,10,LOW,0,0.0,0.0,0.0
storage system in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
structure of dbms tutorialspoint,0,UNSPECIFIED,0,0.0,0.0,0.0
